ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,501.0,0.7666742923820331,11.057307239144157,14.422431205811595,5539.710926811223,22.654
1,510.0,0.4544145908341044,8.588875066690361,18.90096673816081,4380.326284012084,22.654
2,1841.0,0.33117452717771756,13.930939956205656,42.0652520437658,25646.86045937461,22.654
3,653.0,0.5533206222761192,10.724327860887405,19.381760644980492,7002.986093159475,22.654
4,880.0,0.4922725160349813,11.74273322205877,23.85413127801822,10333.605235411718,22.654
5,743.0,0.7984992117988918,13.7422142890651,17.210053668188444,10210.465216775368,22.654
6,383.0,0.629105993064939,8.757625343103337,13.920746964175459,3354.170506408578,22.654
7,904.0,0.4418965851698985,11.276377377700442,25.518136496494872,10193.845149441198,22.654
8,330.0,0.7960732678558317,9.144470303090216,11.486970700222374,3017.6752000197716,22.654
9,578.0,0.7387847315015839,11.658641243111733,15.78083675256185,6738.694638518582,22.654
10,312.0,0.6151501284724823,7.816150626911322,12.706086311515685,2438.6389955963327,22.654
11,808.0,0.6137392677513849,12.563848748822506,20.47098728887574,10151.589789048585,22.654
12,871.0,0.607047687704686,12.973153171538899,21.37089628096899,11299.616412410382,22.654
13,269.0,0.8510334998760737,8.536395566879225,10.030622258844433,2296.2904074905114,22.654
14,447.0,0.6877206216850632,9.892016879697676,14.383772374689174,4421.731545224861,22.654
15,804.0,0.5008330791578823,11.32138581714949,22.60510794571647,9102.394196988189,22.654
16,252.0,0.56738551410706,6.746281452865197,11.890119301833712,1700.06292612203,22.654
17,484.0,0.4553400128132474,8.375594676457256,18.394154787122588,4053.7878234053123,22.654
18,620.0,0.6334852420543841,11.18121914123921,17.650323005124267,6932.355867568311,22.654
19,281.0,0.7233569501611701,8.043675704662125,11.119925927123429,2260.272873010057,22.654
20,416.0,0.8032345818963499,10.313187842292107,12.839571495967949,4290.286142393517,22.654
21,309.0,0.7487910997057351,8.581923525896471,11.46103837140833,2651.8143695020094,22.654
22,723.0,0.6349490984761061,12.08825652933767,19.038150551516317,8739.809470711136,22.654
23,553.0,0.382232078190352,8.202593606014155,21.459720609658653,4536.034264125828,22.654
24,540.0,0.4852944037598025,9.13323400938918,18.81998625706324,4931.946365070157,22.654
25,2575.0,0.4145323631248586,18.432867506545517,44.466654829054875,47464.633829354694,22.654
26,188.0,0.8052082962652098,6.941576412748296,8.620845618388865,1305.0163655966796,22.654
27,575.0,0.5175471605733053,9.732713764499543,18.80546258570576,5596.310414587237,22.654
28,299.0,0.568987790269958,7.358886953166102,12.93329501793818,2200.3071989966643,22.654
29,842.0,0.4988090013339395,11.562406941645483,23.18002864969302,9735.546644865497,22.654
30,877.0,0.43797065623483133,11.057256070118912,25.246568263674327,9697.213573494286,22.654
31,378.0,0.46130164162185916,7.450123355322168,16.150220773394135,2816.1466283117798,22.654
32,380.0,0.5506110752596725,8.160923998238653,14.821576181317997,3101.1511193306883,22.654
33,619.0,0.5029894229305688,9.955195989639625,19.792058313349088,6162.266317586928,22.654
34,229.0,0.5113148256760256,6.105018685310446,11.939842888847995,1398.0492789360922,22.654
35,322.0,0.7397527121435368,8.707556127715296,11.770901254939556,2803.8330731243254,22.654
36,705.0,0.7064598564616195,12.591091109793433,17.82279770694583,8876.719232404372,22.654
37,577.0,0.6046898107443409,10.538512028247787,17.427963628617192,6080.721440298974,22.654
38,874.0,0.5792549232070893,12.69450136965176,21.915223955918545,11094.994197075639,22.654
39,529.0,0.6259095428502106,10.266175545841474,16.402011541623548,5430.806863750139,22.654
40,115.0,0.6599624944614579,4.91511418455601,7.4475659235254525,565.2381312239411,22.654
41,660.0,0.38697396794669753,9.016498333472596,23.30001261148022,5950.8889000919135,22.654
42,600.0,0.48178211561653533,9.59237229429567,19.910187579338295,5755.423376577403,22.654
43,384.0,0.46925350064041615,7.573461751273017,16.13938253190886,2908.209312488839,22.654
44,519.0,0.6291131182265574,10.194668611869718,16.204825994740098,5291.033009560383,22.654
45,335.0,0.6096714909586891,8.062976811968912,13.225117020463163,2701.0972320095852,22.654
46,330.0,0.5772366903973039,7.7867995943832,13.489786293770853,2569.643866146456,22.654
47,412.0,0.6902494414572337,9.514296984709642,13.78385321779232,3919.890357700372,22.654
48,97.0,0.36676375745553724,3.3651477530006186,9.175246148492672,326.41933204106004,22.654
49,553.0,0.6842623029846796,10.974858680090156,16.038964344841133,6069.096850089855,22.654
50,976.0,0.542331163911923,12.980225966959031,23.93413255718249,12668.700543752015,22.654
51,769.0,0.426155249243911,10.213442652278237,23.96648327199778,7854.137399601964,22.654
52,281.0,0.669122357988365,7.736258883570275,11.56180000744318,2173.8887462832467,22.654
53,1169.0,0.4283104244009913,12.624426015276022,29.474944563704632,14757.95401185767,22.654
54,524.0,0.5470933193722584,9.552596045262199,17.460633692663194,5005.560327717392,22.654
55,2074.0,0.41594999526559195,16.571049000605303,39.83904120499959,34368.355627255405,22.654
56,486.0,0.701887826743654,10.420223963181238,14.845996135201457,5064.228846106081,22.654
57,1142.0,0.34262951390305574,11.160162047083057,32.57209783229805,12744.905057768852,22.654
58,204.0,0.4558565354081729,5.440693241489561,11.93509979322327,1109.9014212638706,22.654
59,1179.0,0.5084883011285201,13.814095337415033,27.166987532961024,16286.818402812323,22.654
60,861.0,0.6493706479123755,13.340526396704862,20.543777948067955,11486.193227562886,22.654
61,329.0,0.5191344280765242,7.373317381971046,14.203098433079003,2425.821418668474,22.654
62,452.0,0.5361390545552408,8.782800200860889,16.381571396895797,3969.8256907891223,22.654
